Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples,Duration_min
2025-09-25_16-41-14,21,dsb4updn_median_200_16b,120,122,153,22,0.44363636363636366,0.8472222222222222,0.5823389021479713,25.208469945352576,3526,144,10.42450111111111
2025-09-24_14-22-55,25,dsb4updn_median_200_16b,120,264,154,0,0.631578947368421,1.0,0.7741935483870968,8.15606060606113,15317,264,6.399816666666666
2025-09-24_11-34-51,30,dsb4updn_median_200_16b,120,21,16,50,0.5675675675675675,0.29577464788732394,0.38888888888888884,37.568253968256855,203,71,6.631564999999999
2025-09-22_17-55-26,26,dsb4updn_median_200_16b,120,174,131,11,0.5704918032786885,0.9405405405405406,0.710204081632653,20.059961685822646,4746,185,10.399793333333333
2025-09-23_16-17-52,24,dsb4updn_median_200_16b,120,45,62,27,0.4205607476635514,0.625,0.5027932960893855,24.190370370368086,773,72,10.371521111111111
2025-09-24_15-13-10,14,dsb4updn_median_200_16b,120,83,41,1,0.6693548387096774,0.9880952380952381,0.798076923076923,17.83694779116493,2782,84,5.505122777777777
2025-09-22_17-42-27,24,dsb4updn_median_200_16b,120,47,49,62,0.4895833333333333,0.43119266055045874,0.4585365853658537,34.66241134751641,812,109,10.506606666666666
2025-09-25_12-52-22,25,dsb4updn_median_200_16b,120,27,219,21,0.10975609756097561,0.5625,0.1836734693877551,25.562962962960594,1427,48,10.408511666666667
2025-09-24_10-24-40,30,dsb4updn_median_200_16b,120,65,56,27,0.5371900826446281,0.7065217391304348,0.6103286384976525,25.21538461538618,1084,92,10.413201666666668
2025-09-25_11-21-53,21,dsb4updn_median_200_16b,120,153,81,49,0.6538461538461539,0.7574257425742574,0.701834862385321,24.589760348581954,2352,202,10.375891666666666
2025-09-24_16-29-07,5,dsb4updn_median_200_16b,120,39,275,1,0.12420382165605096,0.975,0.22033898305084748,14.669230769231117,3305,40,10.618442222222223
2025-09-24_17-38-17,13,dsb4updn_median_200_16b,120,15,116,0,0.11450381679389313,1.0,0.2054794520547945,19.811111111102097,861,15,10.479719999999999
PV01ai32FPGA_250611_115923,29,dsb4updn_median_200_16b,120,132,86,78,0.6055045871559633,0.6285714285714286,0.6168224299065421,22.853030303033385,2753,210,11.266702222222222
Calbai32FPGA_251003_144832,11,dsb4updn_median_200_16b,120,182,171,11,0.5155807365439093,0.9430051813471503,0.6666666666666666,20.562454212454696,4905,193,11.366826666666666
Calbai32FPGA_251003_150055,5,dsb4updn_median_200_16b,120,180,204,6,0.46875,0.967741935483871,0.631578947368421,18.131111111112784,5688,186,11.173404444444445
PV01ai32FPGA_250611_122326,20,dsb4updn_median_200_16b,120,152,262,17,0.3671497584541063,0.8994082840236687,0.5214408233276159,18.90570175438422,4702,169,11.670613333333334
Calb_251210_162849,15,dsb4updn_median_200_16b,120,111,279,2,0.2846153846153846,0.9823008849557522,0.441351888667992,19.277477477477177,4913,113,11.705315555555556
Calb_251210_122327,13,dsb4updn_median_200_16b,120,90,250,1,0.2647058823529412,0.989010989010989,0.41763341067285387,18.447407407407365,3515,91,10.954382222222222
Calb_251211_104316,5,dsb4updn_median_200_16b,120,103,326,1,0.2400932400932401,0.9903846153846154,0.38649155722326456,15.679611650484377,5633,104,11.098311111111112
Calb_251210_165332,15,dsb4updn_median_200_16b,120,89,184,2,0.326007326007326,0.978021978021978,0.489010989010989,19.64232209737907,3844,91,11.109688888888888
Calb_251210_115904,15,dsb4updn_median_200_16b,120,56,277,0,0.16816816816816818,1.0,0.2879177377892031,18.228571428566802,3046,56,11.571626666666667
Calb_251211_110650,5,dsb4updn_median_200_16b,120,66,191,2,0.25680933852140075,0.9705882352941176,0.4061538461538461,17.1994949494937,3039,68,10.853688888888888
Calb_251210_121141,15,dsb4updn_median_200_16b,120,64,247,5,0.2057877813504823,0.927536231884058,0.3368421052631579,17.35000000000116,3115,69,10.848568888888888
Calb_251210_164150,15,dsb4updn_median_200_16b,120,114,244,4,0.31843575418994413,0.9661016949152542,0.4789915966386555,20.20292397661085,4869,118,10.902613333333333
Calb_251211_105518,12,dsb4updn_median_200_16b,120,124,266,7,0.31794871794871793,0.9465648854961832,0.4760076775431861,21.401344086021005,5406,131,10.845724444444445
Calb_251209_160255,11,dsb4updn_median_200_16b,120,66,89,0,0.4258064516129032,1.0,0.5972850678733032,16.241414141413383,2628,66,5.828693333333334
2025-09-23_15-50-26,28,dsb4updn_median_200_16b,20,123,93,16,0.5694444444444444,0.8848920863309353,0.6929577464788732,22.83685636856498,2830,139,10.387617777777779
2025-09-25_11-21-53,21,dsb4updn_median_200_16b,20,161,87,41,0.6491935483870968,0.7970297029702971,0.7155555555555555,26.03146997929398,2336,202,10.375891666666666
2025-09-25_12-52-22,25,dsb4updn_median_200_16b,20,28,214,20,0.11570247933884298,0.5833333333333334,0.19310344827586207,31.108333333331302,1312,48,10.408511666666667
2025-09-22_17-42-27,24,dsb4updn_median_200_16b,20,51,43,58,0.5425531914893617,0.46788990825688076,0.5024630541871921,37.405228758170495,878,109,10.506606666666666
2025-09-24_10-24-40,30,dsb4updn_median_200_16b,20,65,61,27,0.5158730158730159,0.7065217391304348,0.5963302752293578,28.917435897438107,1147,92,10.413201666666668
2025-09-24_11-34-51,30,dsb4updn_median_200_16b,20,18,14,53,0.5625,0.2535211267605634,0.34951456310679613,43.00370370370696,169,71,6.631564999999999
2025-09-24_14-22-55,25,dsb4updn_median_200_16b,20,264,140,0,0.6534653465346535,1.0,0.7904191616766467,8.606818181818706,15260,264,6.399816666666666
2025-09-24_15-13-10,14,dsb4updn_median_200_16b,20,82,34,2,0.7068965517241379,0.9761904761904762,0.8199999999999998,17.536178861788894,2657,84,5.505122777777777
2025-09-23_16-17-52,24,dsb4updn_median_200_16b,20,51,65,21,0.4396551724137931,0.7083333333333334,0.5425531914893618,24.78366013071668,807,72,10.371521111111111
2025-09-22_17-55-26,26,dsb4updn_median_200_16b,20,173,128,12,0.574750830564784,0.9351351351351351,0.7119341563786008,19.95375722543253,4800,185,10.399793333333333
